meeting,dir,from,to,raw_count,weight_raw,weight_split,edge_key
#108,out,RAN,RAN1 (dst),2,2.0,1.0,out|||RAN|||RAN1 (dst)
#108,out,RAN,RAN2 (dst),2,2.0,0.333333,out|||RAN|||RAN2 (dst)
#108,out,RAN,RAN3 (dst),2,2.0,0.333333,out|||RAN|||RAN3 (dst)
#108,out,RAN,SA (dst),4,4.0,1.333333,out|||RAN|||SA (dst)
#108,out,RAN,SA1 (dst),2,2.0,0.333333,out|||RAN|||SA1 (dst)
#108,out,RAN,SA3 (dst),2,2.0,1.0,out|||RAN|||SA3 (dst)
#109,in,3GPP ITU-R AH (src),RAN,1,1.0,1.0,in|||3GPP ITU-R AH (src)|||RAN
#109,in,5GAA (src),RAN,1,1.0,1.0,in|||5GAA (src)|||RAN
#109,in,CT (src),RAN,1,1.0,1.0,in|||CT (src)|||RAN
#109,in,CT1 (src),RAN,1,1.0,1.0,in|||CT1 (src)|||RAN
#109,in,ITU-R WP5D (src),RAN,2,2.0,2.0,in|||ITU-R WP5D (src)|||RAN
#109,in,ITU-T JCA IMT2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT2020 (src)|||RAN
#109,in,RAN3 (src),RAN,1,1.0,1.0,in|||RAN3 (src)|||RAN
#109,in,RAN4 (src),RAN,2,2.0,2.0,in|||RAN4 (src)|||RAN
#109,in,SA (src),RAN,1,1.0,1.0,in|||SA (src)|||RAN
#109,in,SA2 (src),RAN,2,2.0,2.0,in|||SA2 (src)|||RAN
#109,in,SA5 (src),RAN,1,1.0,1.0,in|||SA5 (src)|||RAN
#109,out,RAN,SA (dst),16,16.0,15.5,out|||RAN|||SA (dst)
#109,out,RAN,SA2 (dst),1,1.0,0.5,out|||RAN|||SA2 (dst)
#110,in,3GPP ITU-R AH (src),RAN,2,2.0,2.0,in|||3GPP ITU-R AH (src)|||RAN
#110,in,APT WG (src),RAN,1,1.0,1.0,in|||APT WG (src)|||RAN
#110,in,ECC PT1 (src),RAN,1,1.0,1.0,in|||ECC PT1 (src)|||RAN
#110,in,ETSI TC SES (src),RAN,1,1.0,1.0,in|||ETSI TC SES (src)|||RAN
#110,in,ITU-R WP5D (src),RAN,2,2.0,2.0,in|||ITU-R WP5D (src)|||RAN
#110,in,ITU-T JCA IMT-2020 (src),RAN,1,1.0,1.0,in|||ITU-T JCA IMT-2020 (src)|||RAN
#110,in,ITU-T SG15 (src),RAN,1,1.0,1.0,in|||ITU-T SG15 (src)|||RAN
#110,in,ITU-T SP18 FG-AINN (src),RAN,1,1.0,1.0,in|||ITU-T SP18 FG-AINN (src)|||RAN
#110,in,NGMN (src),RAN,2,2.0,2.0,in|||NGMN (src)|||RAN
#110,in,RAN2 (src),RAN,1,1.0,1.0,in|||RAN2 (src)|||RAN
#110,in,RAN4 (src),RAN,5,5.0,5.0,in|||RAN4 (src)|||RAN
#110,in,SA (src),RAN,5,5.0,5.0,in|||SA (src)|||RAN
#110,in,SA2 (src),RAN,5,5.0,5.0,in|||SA2 (src)|||RAN
#110,in,SA5 (src),RAN,2,2.0,2.0,in|||SA5 (src)|||RAN
